Release Date,Date Added,#P,Active Params,Total Params,Model,Link,UGI 🏆,W/10 👍,I/10 💡,Unruly,Internet,Stats,Writing,PolContro,Reg+MyScore 🏆,Reg+Int 🏆,MyScore 🏆,ASSS⬇️,SMOG⬆️,Yule⬇️,Score 🏆,Dif,Cor,Std,Foundation
9/17/2024,9/28/2024,22,22.0,22.0,mistralai/Mistral-Small-Instruct-2409,https://huggingface.co/mistralai/Mistral-Small-Instruct-2409,47.12,6.363636364,5.150914733,83.3,21.5,48.4,45.3,37.0,0.268,0.328,0.20,6.12,8.06,1.96,0.027,2.27,-0.35,0.62,1
9/9/2024,9/9/2024,12,12.0,12.0,TheDrummer/UnslopNemo-v2 (chatml),https://huggingface.co/TheDrummer/UnslopNemo-v2-GGUF,46.81,10,3.495359177,56.7,21.4,42.6,53.0,60.3,0.260,0.361,0.10,5.95,7.42,1.64,0.103,2.27,-0.04,1.12,0
5/19/2024,,70,70.0,70.0,failspy/Llama-3-70B-Instruct-abliterated-v3,https://huggingface.co/failspy/Llama-3-70B-Instruct-abliterated-v3,46.79,9.090909091,3.853218377,45.8,38.2,45.6,47.0,57.3,0.126,0.335,0.05,6.84,8.49,1.68,0.226,1.80,0.11,0.91,0
8/21/2024,8/21/2024,72,72.0,72.0,anthracite-org/magnum-v2-72b,https://huggingface.co/anthracite-org/magnum-v2-72b,46.13,6.681818182,5.18655171,69.2,40.3,35.5,32.1,53.7,0.292,0.296,0.40,7.45,7.30,1.52,0.025,3.07,-0.23,1.34,0
8/3/2024,8/13/2024,70,70.0,70.0,mlabonne/Llama-3.1-70B-Instruct-lorablated,https://huggingface.co/mlabonne/Llama-3.1-70B-Instruct-lorablated,46.07,5.909090909,5.398845213,64.2,43.1,35.1,44.8,43.3,0.176,0.354,0.15,7.37,9.58,1.62,0.267,1.80,0.20,0.87,0
4/18/2024,,70,70.0,70.0,meta-llama/Meta-Llama-3-70B,https://huggingface.co/meta-llama/Meta-Llama-3-70B,45.84,8.181818182,5.086418992,46.7,53.8,42.1,39.4,47.2,0.193,0.384,0.15,9.74,6.89,1.74,0.000,NA,NA,NA,1
5/22/2024,,70,70.0,70.0,cognitivecomputations/dolphin-2.9.1-llama-3-70b,https://huggingface.co/cognitivecomputations/dolphin-2.9.1-llama-3-70b,45.67,7.272727273,5.753423516,49.2,42.3,57.1,45.1,34.7,0.260,0.352,0.25,7.98,9.05,1.73,0.000,2.20,NA,0.00,0
2/6/2024,,70,70.0,70.0,NeverSleep/MiquMaid-v2-70B-DPO,https://huggingface.co/NeverSleep/MiquMaid-v2-70B-DPO,45.30,5.454545455,4.68655171,50.8,43.7,53.0,37.0,42.0,0.101,0.361,0.10,11.41,9.87,1.62,0.608,1.53,0.46,1.97,0
5/2/2024,,70,70.0,70.0,NeverSleep/Llama-3-Lumimaid-70B-v0.1,https://huggingface.co/NeverSleep/Llama-3-Lumimaid-70B-v0.1,45.20,5.454545455,5.249008388,75.8,38.6,34.8,42.1,34.7,0.120,0.335,0.00,8.44,6.91,2.00,0.026,2.67,-0.34,1.05,0
5/8/2024,,70,70.0,70.0,turboderp/Cat-Llama-3-70B-instruct,https://huggingface.co/turboderp/Cat-Llama-3-70B-instruct,45.14,7.272727273,5.697739706,48.3,22.5,44.1,48.2,62.7,0.319,0.245,0.40,7.56,8.13,1.90,0.052,2.33,-0.22,0.89,0
